Target_Cell_Type,Rank,Cell_Name,VT,Delay_Raw,Power_Raw,Delay_Norm,Power_Norm,Avg_Norm_Score,,,,,,,,,,,,,,,,,,
AO21,1,AO21x2_ASAP7_75t_L,LVT,55.493,3.982,0.1191,0.1905,0.1548,,,,,,,,,,,,,,,,,,
AO21,2,AO21x2_ASAP7_75t_R,RVT,68.328,3.1022,0.3304,0.1021,0.2162,,,,,,,,,,,,,,,,,,
AO21,3,AO21x1_ASAP7_75t_L,LVT,89.344,2.7213,0.6764,0.0638,0.3701,,,,,,,,,,,,,,,,,,
AO21,4,AO21x2_ASAP7_75t_SL,SLVT,48.26,12.0382,0,1,0.5,,,,,,,,,,,,,,,,,,
AO21,5,AO21x1_ASAP7_75t_R,RVT,109.003,2.0862,1,0,0.5,,,,,,,,,,,,,,,,,,
AO21,6,AO21x1_ASAP7_75t_SL,SLVT,77.364,8.3811,0.4791,0.6325,0.5558,,,,,,,,,,,,,,,,,,
AO22,1,AO22x2_ASAP7_75t_L,LVT,56.675,8.6101,0.1244,0.3037,0.214,,,-19.55,-19.55,-49.56,-406.37,-847.4,-12497.25,-31192.78,-119607.38,-89977.71,,,,,,,
AO22,2,AO22x2_ASAP7_75t_R,RVT,69.68,7.478,0.3244,0.2195,0.272,,,-49.56,,,,,,,,,,,,,,,
AO22,3,AO22x1_ASAP7_75t_L,LVT,93.141,5.1716,0.6853,0.0481,0.3667,,,-406.37,,,,,,,,,,,,,,,
AO22,4,AO22x1_ASAP7_75t_SL,SLVT,80.564,10.5327,0.4919,0.4466,0.4692,,,-847.4,,,,,,,,,,,,,,,
AO22,5,AO22x2_ASAP7_75t_SL,SLVT,48.589,17.9763,0,1,0.5,,,-12497.25,,,,,,,,,,,,,,,
AO22,6,AO22x1_ASAP7_75t_R,RVT,113.597,4.525,1,0,0.5,,,-31192.78,,,,,,,,,,,,,,,
AO221,1,AO221x2_ASAP7_75t_L,LVT,67.963,14.7642,0.1446,0.3771,0.2608,,,-119607.38,,,,,,,,,,,,,,,
AO221,2,AO221x2_ASAP7_75t_R,RVT,82.595,13.4291,0.3787,0.2854,0.332,,,-89977.71,,,,,,,,,,,,,,,
AO221,3,AO221x1_ASAP7_75t_L,LVT,100.334,10.1425,0.6625,0.0597,0.3611,,,,,,,,,,,,,,,,,,
AO221,4,AO221x1_ASAP7_75t_SL,SLVT,87.355,16.301,0.4548,0.4826,0.4687,,,,Design,WNS,TNS,Slew Sum,Slew Count,Cap Sum,Cap Count,Fanout Sum,Fanout Count,Leakage Power,Total Power,Max OF,Total OF,Flow RT,
AO221,5,AO221x2_ASAP7_75t_SL,SLVT,58.927,23.8357,0,1,0.5,,,0,aes_cipher_top,-0.42,-123.45,1.28E+02,465,0,0,0,0,1.10E+08,7.08E+10,0,0,5,
AO221,6,AO221x1_ASAP7_75t_R,RVT,121.428,9.2726,1,0,0.5,,,1,aes_cipher_top_v2,-2.6,-313.31,1.16E+03,3310,1.02,26,0,0,7.54E+07,2.35E+11,0,0,4,
AO32,1,AO32x2_ASAP7_75t_L,LVT,64.472,14.1918,0.1462,0.3858,0.266,,,2,jpeg_encoder,-2.91,-7034.78,2.58E+04,34678,6.26,19,0,0,2.83E+08,1.76E+11,0,0,6,
